AMAC,Channel,BandgapControl,RampGain,OpAmpGain,m,b,Voff,RI
AMAC_K04,LEFT,2,1,10,4.469458816969702e-06,-0.000851520080937449,-0.1160639539968428,63.004193751828836
AMAC_K04,LEFT,2,1,11,4.502556044126392e-06,-0.0008579414378151008,-0.11580591625263975,63.127229750958016
AMAC_K04,LEFT,2,1,12,5.952160603481605e-06,-0.001134566264672484,-0.11783539009476317,64.03259826942629
AMAC_K04,LEFT,2,1,13,5.984576203348012e-06,-0.0011406826048219723,-0.11899829519423065,64.93961207176343
AMAC_K04,LEFT,2,1,14,6.327256502621234e-06,-0.0012059001639179426,-0.11890354215846699,64.58660881172192
AMAC_K04,LEFT,2,1,15,6.362109011028063e-06,-0.0012125416089284362,-0.11860110909628534,64.60521610187348
AMAC_K04,LEFT,2,2,0,3.0744058444983246e-08,-3.148808953063265e-06,-0.09933133438952536,228.06874255566984
AMAC_K04,LEFT,2,2,1,9.185239476553543e-08,-9.874392240693676e-06,-0.11635757564781342,1368.910203215986
AMAC_K04,LEFT,2,2,2,7.226427339595804e-07,-7.866389823101953e-05,-0.1122749990268688,85.52742544946761
AMAC_K04,LEFT,2,2,3,7.927450315655824e-07,-8.636510248158578e-05,-0.11359609307985427,54.9194759971662
AMAC_K04,LEFT,2,2,4,3.390543841702842e-06,-0.00036887347798490185,-0.11355223301824735,60.91303619610354
AMAC_K04,LEFT,2,2,5,3.4513970435897667e-06,-0.0003752109949236416,-0.1137915870133561,61.344201943183734
AMAC_K04,LEFT,2,2,6,4.069062688861445e-06,-0.000442304056334204,-0.11433922644556457,62.209406080423356
AMAC_K04,LEFT,2,2,7,4.127242101602345e-06,-0.000448319866820974,-0.11443925021648461,62.585854962117054
AMAC_K04,LEFT,2,2,8,7.352991640671771e-06,-0.0007995417990244062,-0.11633349595721426,62.357924045129096
AMAC_K04,LEFT,2,2,9,7.413757471477262e-06,-0.0008062642524108139,-0.11641347107437693,62.5047166082256
AMAC_K04,LEFT,2,2,10,8.0220846624107e-06,-0.0008721659147468712,-0.11779113949966642,64.07859346296969
AMAC_K04,LEFT,2,2,11,8.102366151163647e-06,-0.0008810400943842314,-0.11776896864706599,63.61056395221788
AMAC_K04,LEFT,2,2,12,1.0735087934664502e-05,-0.0011677872453177808,-0.12004331737003844,64.04491355827885
AMAC_K04,LEFT,2,2,13,1.0794220582600354e-05,-0.0011741546963644895,-0.12028653702585475,64.26441628401149
AMAC_K04,LEFT,2,2,14,1.1423101754388255e-05,-0.0012428593746255565,-0.1196200117116134,63.6283607956392
AMAC_K04,LEFT,2,2,15,1.1476619942197441e-05,-0.0012486842663303928,-0.12057849324574146,64.56636664130005
AMAC_K04,LEFT,2,3,0,3.174104894981214e-08,-2.9957168332629003e-06,-0.10730692933184442,810.9369392966461
AMAC_K04,LEFT,2,3,1,9.558239458658133e-08,-9.774026494027217e-06,-0.09268738677245293,1.1985777760908262e-06
AMAC_K04,LEFT,2,3,2,7.590288302947637e-07,-7.911443588749574e-05,-0.11274279773727316,53.479181326251634
AMAC_K04,LEFT,2,3,3,8.298814992779295e-07,-8.660377118790502e-05,-0.11371096633395568,54.73949906228544
AMAC_K04,LEFT,2,3,4,3.5363071837710336e-06,-0.0003677990668092327,-0.11361317163690876,61.561918872086046
AMAC_K04,LEFT,2,3,5,3.614727464368468e-06,-0.00037626295897341124,-0.11429350968453192,61.447115812745515
AMAC_K04,LEFT,2,3,6,4.26036260469386e-06,-0.00044337841481838534,-0.11414727064838134,61.829901882824636
AMAC_K04,LEFT,2,3,7,4.326980185770539e-06,-0.0004503946814893838,-0.11441997119247915,62.17123822298506
AMAC_K04,LEFT,2,3,8,7.630195166623812e-06,-0.0007924403399543097,-0.11707669985415022,64.32259252075886
AMAC_K04,LEFT,2,3,9,7.712731017692156e-06,-0.000801554355198776,-0.11652519123758148,63.45564276197857
AMAC_K04,LEFT,2,3,10,8.325228461809813e-06,-0.0008647059433612772,-0.11819441454878835,65.85310460804162
AMAC_K04,LEFT,2,3,11,8.417881071605525e-06,-0.0008741552491042709,-0.1187903198813112,65.55515996847373
AMAC_K04,LEFT,2,3,12,1.108291974294523e-05,-0.001151354228560061,-0.1214538324784953,67.56380037636164
AMAC_K04,LEFT,2,3,13,1.1158462154846308e-05,-0.0011591268018047293,-0.12200809881515376,67.44384463459731
